"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HATSUN","EQ","15-Dec-2022","        916.30","        911.95","        919.00","        901.00","        902.10","        903.05","        906.43","       9247","             8381720.75","       1502"
"HATSUN","EQ","16-Dec-2022","        903.05","        903.05","        908.95","        898.00","        900.50","        901.50","        901.51","      23789","            21446020.05","       3147"
"HATSUN","EQ","19-Dec-2022","        901.50","        907.10","        910.05","        898.45","        900.20","        901.80","        903.86","      18745","            16942910.65","       2290"
"HATSUN","EQ","20-Dec-2022","        901.80","        902.00","        920.00","        902.00","        910.30","        912.40","        909.47","      20429","            18579476.90","       3322"
"HATSUN","EQ","21-Dec-2022","        912.40","        910.00","        917.00","        896.05","        903.50","        904.50","        903.17","      16716","            15097379.90","       2834"
"HATSUN","EQ","22-Dec-2022","        904.50","        900.10","        908.80","        893.05","        900.00","        900.20","        900.21","      14637","            13176359.60","       2834"
"HATSUN","EQ","23-Dec-2022","        900.20","        893.00","        911.70","        890.00","        892.20","        897.70","        897.87","      27429","            24627699.60","       4876"
"HATSUN","EQ","26-Dec-2022","        897.70","        892.00","        905.00","        892.00","        901.65","        902.20","        900.57","      15899","            14318205.65","       2137"
"HATSUN","EQ","27-Dec-2022","        902.20","        929.95","        929.95","        891.50","        894.00","        900.75","        912.04","      31738","            28946243.40","       3417"
"HATSUN","EQ","28-Dec-2022","        900.75","        895.00","        904.00","        891.25","        900.00","        900.20","        899.36","      33505","            30133103.80","       7610"
"HATSUN","EQ","29-Dec-2022","        900.20","        900.20","        904.05","        881.65","        886.70","        885.60","        893.40","      30775","            27494466.60","       5615"
"HATSUN","EQ","30-Dec-2022","        885.60","        890.00","        917.90","        890.00","        911.50","        909.75","        908.74","      88769","            80667638.80","      12377"
"HATSUN","EQ","02-Jan-2023","        909.75","        914.30","        918.00","        896.00","        900.00","        900.10","        901.76","      14132","            12743611.00","       1842"
"HATSUN","EQ","03-Jan-2023","        900.10","        904.65","        904.80","        897.05","        900.00","        899.90","        900.02","      39041","            35137593.00","        795"
"HATSUN","EQ","04-Jan-2023","        899.90","        897.90","        904.10","        889.15","        890.00","        891.05","        896.20","       6601","             5915847.35","        916"
"HATSUN","EQ","05-Jan-2023","        891.05","        891.05","        900.05","        891.00","        893.00","        893.00","        893.41","      22878","            20439442.50","       1170"
"HATSUN","EQ","06-Jan-2023","        893.00","        901.95","        914.15","        887.50","        895.10","        897.40","        899.35","      46626","            41933156.15","       4760"
"HATSUN","EQ","09-Jan-2023","        897.40","        901.90","        901.90","        890.60","        895.90","        895.10","        895.73","      11187","            10020517.45","       3572"
"HATSUN","EQ","10-Jan-2023","        895.10","        895.25","        896.80","        890.60","        890.60","        893.55","        895.36","       8790","             7870214.05","        627"
"HATSUN","EQ","11-Jan-2023","        893.55","        893.00","        895.95","        879.15","        885.00","        885.00","        885.14","      53359","            47230135.75","       4228"
"HATSUN","EQ","12-Jan-2023","        885.00","        887.00","        888.90","        881.75","        885.00","        885.25","        885.06","      33676","            29805319.15","       1436"
"HATSUN","EQ","13-Jan-2023","        885.25","        885.00","        896.00","        881.30","        893.00","        886.85","        885.31","      99451","            88045122.00","       3500"
"HATSUN","EQ","16-Jan-2023","        886.85","        891.50","        899.95","        889.55","        897.00","        897.90","        895.57","      10489","             9393668.85","       1450"
"HATSUN","EQ","17-Jan-2023","        897.90","        897.00","        897.50","        882.35","        888.05","        888.20","        889.15","       6543","             5817693.25","        963"
"HATSUN","EQ","18-Jan-2023","        888.20","        889.00","        897.00","        887.00","        888.05","        889.45","        891.81","       9871","             8803053.60","       1316"
"HATSUN","EQ","19-Jan-2023","        889.45","        889.45","        915.00","        885.00","        905.05","        897.05","        897.33","      21668","            19443435.85","       2046"
"HATSUN","EQ","20-Jan-2023","        897.05","        895.00","        906.05","        870.00","        900.00","        895.05","        889.16","      35902","            31922738.60","       3961"
"HATSUN","EQ","23-Jan-2023","        895.05","        899.00","        899.00","        885.20","        889.00","        889.35","        890.19","      10443","             9296246.10","       1442"
"HATSUN","EQ","24-Jan-2023","        889.35","        895.00","        905.00","        883.75","        890.00","        900.35","        893.53","      11145","             9958340.30","       2553"
"HATSUN","EQ","25-Jan-2023","        900.35","        892.20","        898.35","        886.50","        891.95","        889.85","        889.99","       5245","             4668007.70","        964"
"HATSUN","EQ","27-Jan-2023","        889.85","        890.00","        893.00","        875.55","        893.00","        887.50","        883.41","      25842","            22829023.95","       1787"
"HATSUN","EQ","30-Jan-2023","        887.50","        880.65","        888.60","        874.80","        885.15","        884.75","        884.05","      10980","             9706824.50","       1464"
"HATSUN","EQ","31-Jan-2023","        884.75","        884.75","        903.90","        879.85","        903.90","        892.75","        889.99","       7155","             6367860.35","       1096"
